new_street,street
AV ROQUE PETRONI JUNIOR,Av. Roque Petroni Jr.
R JOAO CASAGRANDE,R. João Casagrande
AV JORGE JOAO SAAD,Av. Jorge João Saad
R DR AUDISIO DE ALENCAR,R. Dr. Audísio de Alencar
R SATURNINO PEREIRA,R. Saturnino Pereira
R PROF MAXIMO RIBEIRO NUNES,R. Prof. Máximo Ribeiro Nunes
VD DR MANUEL JOSE CHAVES,Vd. Dr. Manuel José Chaves
VD COMEN ELIAS NAGIB BREIM,Vd. Elias Nagib Breim
VD GRANDE SAO PAULO VER M O SALA,Vd. Grande São Paulo
TN MAX FEFFER,Túnel Max Feffer
R MASSINET SORCINELLI,R. Massinet Sorcinelli
VD DIARIO POPULAR,Vd. Diário Popular
VD TRINTA E UM DE MARCO,Vd. 31 de Março
AV PROF LUIZ IGNACIO ANHAIA MELLO,Av. Prof. Luis Ignácio de Anhaia Mello
R CAP MANOEL DE FREITAS NOVAES,R. Cap. Manoel de Freitas Novaes
VD JOAO JULIAO DA COSTA AGUIAR,Vd. João Julião da Costa Aguiar
R ANTONIO SARKIS,R. Antônio Sarkis
R PROF MANOELITO DE ORNELLAS,R. Prof. Manoelito de Ornellas
R LIMOEIRO DE ANADIA,R. Limoeiro de Anadia
ES DE ITAQUAQUECETUBA,Est. de Itaquaquecetuba
PTE DR MIGUEL ARRAES,Ponte Aricanduva
AV PROF VICENTE RAO,Av. Prof. Vicente Rao
AV PROF VICENTE RAO,Av. Prof. Vicente Rao - Pista Central
AV PROF VICENTE RAO,Av. Prof. Vicente Rao - Pista Esquerda
PTE ENG ARY TORRES,Ponte Eng. Ary Torres
AV DOMINGOS DE SOUZA MARQUES,Av. Domingos de Souza Marques
AV SALIM FARAH MALUF,Av. Salim Farah Maluf
AV SALIM FARAH MALUF,Av. Salim Farah Maluf - Pista Central
AV SALIM FARAH MALUF,Av. Salim Farah Maluf - Pista Lateral
AV ROGERIO ALVES DE TOLEDO,Av. Rogério Alves de Toledo
PTE PRES JANIO QUADROS,Ponte da Vila Maria
R IZIDORO MATHEUS,R. Izidoro Matheus
